location,full_location,lat_lon,lat,lon,cluster
Sanjay Nagar,"Sanjay Nagar, Bangalore, Karnataka, India","(12.9578658, 77.6958748)",12.9578658,77.6958748,2
Basaveshwara Nagar,"Basaveshwara Nagar, Bangalore, Karnataka, India","(12.989651, 77.5377152)",12.989651,77.5377152,4
Rajajinagar,"Rajajinagar, Bangalore, Karnataka, India","(12.9882338, 77.554883)",12.9882338,77.554883,4
Yeshwantpur,"Yeshwantpur, Bangalore, Karnataka, India","(13.02383, 77.5529215)",13.02383,77.5529215,4
New BEL Road,"New BEL Road, Bangalore, Karnataka, India","(13.0311773, 77.5702743)",13.0311773,77.5702743,4
West Bangalore,"West Bangalore, Bangalore, Karnataka, India","(13.022234699999998, 77.56718324768107)",13.022234699999998,77.56718324768107,4
Magadi Road,"Magadi Road, Bangalore, Karnataka, India","(12.9756527, 77.5553548)",12.9756527,77.5553548,4
Yelahanka,"Yelahanka, Bangalore, Karnataka, India","(13.1006982, 77.5963454)",13.1006982,77.5963454,6
Sahakara Nagar,"Sahakara Nagar, Bangalore, Karnataka, India","(13.0621474, 77.58006135480495)",13.0621474,77.58006135480495,6
Jalahalli,"Jalahalli, Bangalore, Karnataka, India","(13.0464531, 77.5483803)",13.0464531,77.5483803,4
Hebbal,"Hebbal, Bangalore, Karnataka, India","(13.0382184, 77.5919)",13.0382184,77.5919,6
Nagarbhavi,"Nagarbhavi, Bangalore, Karnataka, India","(12.95961755, 77.51126721318181)",12.95961755,77.51126721318181,5
Peenya,"Peenya, Bangalore, Karnataka, India","(13.0329419, 77.5273253)",13.0329419,77.5273253,4
KR Puram,"KR Puram, Bangalore, Karnataka, India","(13.007516, 77.695935)",13.007516,77.695935,2
